system,dataset,qid,question,retrieval_time_s,generation_time_s,total_time_s,num_chunks,context_length,retrieve_k,ok,error
encrypted,Multi,1,Did Adam Smith send a message to Li Hua about the upcoming building maintenance schedule before the administrators announced a temporary change in the construction schedule due to weather conditions?,0.18378329277038574,80.67115473747253,80.85735130310059,20,2700,30,True,
encrypted,Multi,2,"Did Wolfgang ask Li Hua about watching ""Star Wars: A New Hope"" after he asked Li Hua about going to see ""Overwatch 3""?",0.21538448333740234,79.69591212272644,79.91381001472473,20,2693,30,True,
plaintext,Multi,1,Did Adam Smith send a message to Li Hua about the upcoming building maintenance schedule before the administrators announced a temporary change in the construction schedule due to weather conditions?,0.27321887016296387,72.54566287994385,72.82105851173401,20,2700,30,True,
plaintext,Multi,2,"Did Wolfgang ask Li Hua about watching ""Star Wars: A New Hope"" after he asked Li Hua about going to see ""Overwatch 3""?",0.2583639621734619,91.6306381225586,91.89296388626099,20,2693,30,True,
encrypted,Single,1,Why did Adam remind Li Hua not to play guitar late at night?,0.44466614723205566,78.20469427108765,78.6541075706482,20,2727,30,True,
encrypted,Single,2,What type of ambiance does YurikoYamamoto want for her studio's homepage?,0.40587925910949707,84.50442886352539,84.91448450088501,20,2786,30,True,
plaintext,Single,1,Why did Adam remind Li Hua not to play guitar late at night?,0.35189056396484375,74.97825813293457,75.3325092792511,20,2727,30,True,
plaintext,Single,2,What type of ambiance does YurikoYamamoto want for her studio's homepage?,0.17327213287353516,78.82297563552856,78.9986641407013,20,2786,30,True,
encrypted,Null,1,What time will Li Hua and Wolfgang meet for breakfast on the morning of the 9th?,0.28090953826904297,83.58278799057007,83.86595964431763,20,2761,30,True,
encrypted,Null,2,What type of equipment does Wolfgang Schulz use when he works out at the gym?,0.4625675678253174,91.75721096992493,92.22165632247925,20,2955,30,True,
plaintext,Null,1,What time will Li Hua and Wolfgang meet for breakfast on the morning of the 9th?,0.6412975788116455,90.02628898620605,90.6696469783783,20,2761,30,True,
plaintext,Null,2,What type of equipment does Wolfgang Schulz use when he works out at the gym?,0.5368087291717529,71.71293377876282,72.25362181663513,20,2955,30,True,
